study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	cram_index_ftp	cram_index_aspera	cram_index_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
PRJEB11202	ERP012552	SAMEA3581103	ERS888252	ERX1121214	ERR1041732	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1827		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	11864775	510185325	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1827	E-MTAB-3929:E5.15.1827	488108857	b68fa903aebf630d2dbede31568e79c8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR1041732/ERR1041732.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/002/ERR1041732/ERR1041732.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR1041732/ERR1041732.fastq.gz	440399358	3d3788d8a0bccfa43110e434cd318356	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041732/E5.15.1827.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041732/E5.15.1827.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041732/E5.15.1827.fastq.gz	FASTQ	585514674	a439309a654609a1250281a1da2c0f5a	ftp.sra.ebi.ac.uk/vol1/err/ERR104/002/ERR1041732	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/002/ERR1041732	ftp.sra.ebi.ac.uk/vol1/err/ERR104/002/ERR1041732				E-MTAB-3929:E5.15.1827	ArrayExpress	E5.15.1827		2015-10-02
PRJEB11202	ERP012552	SAMEA3581104	ERS888253	ERX1121215	ERR1041733	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1828		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	5079088	218400784	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1828	E-MTAB-3929:E5.15.1828	218472663	36a2ddb6e5a9117e7ee7c78ae8892f33	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR1041733/ERR1041733.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/003/ERR1041733/ERR1041733.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR1041733/ERR1041733.fastq.gz	198554503	d1e4e79c9bdff92ce4fbefb2c4ec501b	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041733/E5.15.1828.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041733/E5.15.1828.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041733/E5.15.1828.fastq.gz	FASTQ	257534183	55c46e87c4608f5ec5d8370b7da95e5b	ftp.sra.ebi.ac.uk/vol1/err/ERR104/003/ERR1041733	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/003/ERR1041733	ftp.sra.ebi.ac.uk/vol1/err/ERR104/003/ERR1041733				E-MTAB-3929:E5.15.1828	ArrayExpress	E5.15.1828		2015-10-02
PRJEB11202	ERP012552	SAMEA3581105	ERS888254	ERX1121216	ERR1041734	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1829		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	7395238	317995234	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1829	E-MTAB-3929:E5.15.1829	293948859	4d756c7c88ef96f307ff4c8b5549db49	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR1041734/ERR1041734.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/004/ERR1041734/ERR1041734.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR1041734/ERR1041734.fastq.gz	264128701	de4e70199a08254fe0cba6a5a5252e12	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041734/E5.15.1829.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041734/E5.15.1829.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041734/E5.15.1829.fastq.gz	FASTQ	364930905	00510542f211053d13757f17d95a3120	ftp.sra.ebi.ac.uk/vol1/err/ERR104/004/ERR1041734	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/004/ERR1041734	ftp.sra.ebi.ac.uk/vol1/err/ERR104/004/ERR1041734				E-MTAB-3929:E5.15.1829	ArrayExpress	E5.15.1829		2015-10-02
PRJEB11202	ERP012552	SAMEA3581106	ERS888255	ERX1121217	ERR1041735	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1830		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	1284575	55236725	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1830	E-MTAB-3929:E5.15.1830	49005403	62bb6709e1eee08e839fa126fafd25d6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR1041735/ERR1041735.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/005/ERR1041735/ERR1041735.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR1041735/ERR1041735.fastq.gz	43794509	e7c1cbc3050d7917c268b01f3b91550b	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041735/E5.15.1830.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041735/E5.15.1830.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041735/E5.15.1830.fastq.gz	FASTQ	63448089	2fdd49c04bb19e0f34a2085504f6521f	ftp.sra.ebi.ac.uk/vol1/err/ERR104/005/ERR1041735	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/005/ERR1041735	ftp.sra.ebi.ac.uk/vol1/err/ERR104/005/ERR1041735				E-MTAB-3929:E5.15.1830	ArrayExpress	E5.15.1830		2015-10-02
PRJEB11202	ERP012552	SAMEA3581107	ERS888256	ERX1121218	ERR1041736	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1831		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	8665413	372612759	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1831	E-MTAB-3929:E5.15.1831	347749954	470d2f4c453836ff667673ff4981974c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR1041736/ERR1041736.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/006/ERR1041736/ERR1041736.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR1041736/ERR1041736.fastq.gz	312979835	be8c13d92536f643967c0293ed3474e1	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041736/E5.15.1831.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041736/E5.15.1831.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041736/E5.15.1831.fastq.gz	FASTQ	427297170	c6ad7defa62255f48310c78866ebdee3	ftp.sra.ebi.ac.uk/vol1/err/ERR104/006/ERR1041736	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/006/ERR1041736	ftp.sra.ebi.ac.uk/vol1/err/ERR104/006/ERR1041736				E-MTAB-3929:E5.15.1831	ArrayExpress	E5.15.1831		2015-10-02
PRJEB11202	ERP012552	SAMEA3581108	ERS888257	ERX1121219	ERR1041737	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1834		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	6948756	298796508	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1834	E-MTAB-3929:E5.15.1834	293561151	757254cfed9f42b90a7eeffa5a67b1a9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/007/ERR1041737/ERR1041737.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/007/ERR1041737/ERR1041737.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/007/ERR1041737/ERR1041737.fastq.gz	266220520	7c3c1bd28d7c27f2948840b782bf0503	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041737/E5.15.1834.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041737/E5.15.1834.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041737/E5.15.1834.fastq.gz	FASTQ	343752759	8ad1fbbf4f3bae8a750678e823fdc0c4	ftp.sra.ebi.ac.uk/vol1/err/ERR104/007/ERR1041737	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/007/ERR1041737	ftp.sra.ebi.ac.uk/vol1/err/ERR104/007/ERR1041737				E-MTAB-3929:E5.15.1834	ArrayExpress	E5.15.1834		2015-10-02
PRJEB11202	ERP012552	SAMEA3581109	ERS888258	ERX1121220	ERR1041738	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1835		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	10156824	436743432	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1835	E-MTAB-3929:E5.15.1835	431009288	e3bf3a9ff1299e5a56e734da4e6296ac	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/008/ERR1041738/ERR1041738.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/008/ERR1041738/ERR1041738.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/008/ERR1041738/ERR1041738.fastq.gz	390809629	2c449ff630e8ba8b9cdc576a77dee368	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041738/E5.15.1835.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041738/E5.15.1835.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041738/E5.15.1835.fastq.gz	FASTQ	502154099	d99c674019fe62ea0f339b562588e015	ftp.sra.ebi.ac.uk/vol1/err/ERR104/008/ERR1041738	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/008/ERR1041738	ftp.sra.ebi.ac.uk/vol1/err/ERR104/008/ERR1041738				E-MTAB-3929:E5.15.1835	ArrayExpress	E5.15.1835		2015-10-02
PRJEB11202	ERP012552	SAMEA3581110	ERS888259	ERX1121221	ERR1041739	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1836		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	7096190	305136170	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1836	E-MTAB-3929:E5.15.1836	282843420	1ece70110c417a92868f7bec0c609604	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR1041739/ERR1041739.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/009/ERR1041739/ERR1041739.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/009/ERR1041739/ERR1041739.fastq.gz	254315857	d6b9f68024216094638e9d400f9ddbbd	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041739/E5.15.1836.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041739/E5.15.1836.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041739/E5.15.1836.fastq.gz	FASTQ	352710992	b21176cc20501de8cf0c93666c8ecd09	ftp.sra.ebi.ac.uk/vol1/err/ERR104/009/ERR1041739	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/009/ERR1041739	ftp.sra.ebi.ac.uk/vol1/err/ERR104/009/ERR1041739				E-MTAB-3929:E5.15.1836	ArrayExpress	E5.15.1836		2015-10-02
PRJEB11202	ERP012552	SAMEA3581111	ERS888260	ERX1121222	ERR1041740	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1837		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	6466967	278079581	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1837	E-MTAB-3929:E5.15.1837	261281942	cc639e15ea1492e8c79fb384f91150f5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR1041740/ERR1041740.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/000/ERR1041740/ERR1041740.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/000/ERR1041740/ERR1041740.fastq.gz	235448962	9ddf4a36d33db31d06e499027b6e2917	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041740/E5.15.1837.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041740/E5.15.1837.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041740/E5.15.1837.fastq.gz	FASTQ	320913551	5dc691ef2b959909ac22e296e551c301	ftp.sra.ebi.ac.uk/vol1/err/ERR104/000/ERR1041740	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/000/ERR1041740	ftp.sra.ebi.ac.uk/vol1/err/ERR104/000/ERR1041740				E-MTAB-3929:E5.15.1837	ArrayExpress	E5.15.1837		2015-10-02
PRJEB11202	ERP012552	SAMEA3581112	ERS888261	ERX1121223	ERR1041741	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1838		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	6026358	259133394	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1838	E-MTAB-3929:E5.15.1838	253276447	2e3c96d2637eed32c266e305404ad393	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR1041741/ERR1041741.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/001/ERR1041741/ERR1041741.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/001/ERR1041741/ERR1041741.fastq.gz	229564011	49a61f65898ca2939999c6ccf61a81a9	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041741/E5.15.1838.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041741/E5.15.1838.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041741/E5.15.1838.fastq.gz	FASTQ	295319273	3b260b86b46445d35f69200d8a1eb9b3	ftp.sra.ebi.ac.uk/vol1/err/ERR104/001/ERR1041741	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/001/ERR1041741	ftp.sra.ebi.ac.uk/vol1/err/ERR104/001/ERR1041741				E-MTAB-3929:E5.15.1838	ArrayExpress	E5.15.1838		2015-10-02
PRJEB11202	ERP012552	SAMEA3581113	ERS888262	ERX1121224	ERR1041742	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1839		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	7110464	305749952	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1839	E-MTAB-3929:E5.15.1839	297437740	8186eb111aa07a44323932f99878b1a7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR1041742/ERR1041742.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/002/ERR1041742/ERR1041742.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/002/ERR1041742/ERR1041742.fastq.gz	269422759	bfe037a081288d6d70974b70aaea2287	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041742/E5.15.1839.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041742/E5.15.1839.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041742/E5.15.1839.fastq.gz	FASTQ	348703682	955a940e4c28a5da56890129344ace87	ftp.sra.ebi.ac.uk/vol1/err/ERR104/002/ERR1041742	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/002/ERR1041742	ftp.sra.ebi.ac.uk/vol1/err/ERR104/002/ERR1041742				E-MTAB-3929:E5.15.1839	ArrayExpress	E5.15.1839		2015-10-02
PRJEB11202	ERP012552	SAMEA3581114	ERS888263	ERX1121225	ERR1041743	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1840		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	5064964	217793452	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1840	E-MTAB-3929:E5.15.1840	212589190	6b5118665f91e4960d453e5a098c3108	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR1041743/ERR1041743.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/003/ERR1041743/ERR1041743.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/003/ERR1041743/ERR1041743.fastq.gz	192676464	dc7f6c4a39965f52abdaa02bf84619a4	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041743/E5.15.1840.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041743/E5.15.1840.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041743/E5.15.1840.fastq.gz	FASTQ	248625048	e03930f65f63d025b99fc02f71b8d8d2	ftp.sra.ebi.ac.uk/vol1/err/ERR104/003/ERR1041743	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/003/ERR1041743	ftp.sra.ebi.ac.uk/vol1/err/ERR104/003/ERR1041743				E-MTAB-3929:E5.15.1840	ArrayExpress	E5.15.1840		2015-10-02
PRJEB11202	ERP012552	SAMEA3581115	ERS888264	ERX1121226	ERR1041744	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1841		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	2921287	125615341	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1841	E-MTAB-3929:E5.15.1841	123297436	30a6c111447925a1e7c6c6c40c7c9175	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR1041744/ERR1041744.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/004/ERR1041744/ERR1041744.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/004/ERR1041744/ERR1041744.fastq.gz	111649166	27638726a31dcfca0f05527c52e4e0ca	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041744/E5.15.1841.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041744/E5.15.1841.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041744/E5.15.1841.fastq.gz	FASTQ	143424724	8fb8c1a0fae47dbfaf6c0a9545568c5e	ftp.sra.ebi.ac.uk/vol1/err/ERR104/004/ERR1041744	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/004/ERR1041744	ftp.sra.ebi.ac.uk/vol1/err/ERR104/004/ERR1041744				E-MTAB-3929:E5.15.1841	ArrayExpress	E5.15.1841		2015-10-02
PRJEB11202	ERP012552	SAMEA3581116	ERS888265	ERX1121227	ERR1041745	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1842		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	4599039	197758677	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1842	E-MTAB-3929:E5.15.1842	190751983	d1a057a0547a453927f89c40f777d4ad	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR1041745/ERR1041745.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/005/ERR1041745/ERR1041745.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/005/ERR1041745/ERR1041745.fastq.gz	172622001	d19874c6bf91fb8746cd8d0f35589874	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041745/E5.15.1842.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041745/E5.15.1842.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041745/E5.15.1842.fastq.gz	FASTQ	225935908	a5279cbd87745af6ce42d1345c0b9acc	ftp.sra.ebi.ac.uk/vol1/err/ERR104/005/ERR1041745	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/005/ERR1041745	ftp.sra.ebi.ac.uk/vol1/err/ERR104/005/ERR1041745				E-MTAB-3929:E5.15.1842	ArrayExpress	E5.15.1842		2015-10-02
PRJEB11202	ERP012552	SAMEA3581117	ERS888266	ERX1121228	ERR1041746	ERA510323	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	E5.15.1843		SINGLE	RNA-Seq	TRANSCRIPTOMIC	RANDOM	8743001	375949043	Department of Cell and Molecular Biology, Karolinska Institutet	2016-04-06	2018-11-16	Illumina HiSeq 2000 sequencing; Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	Single-cell RNA-seq reveal lineage formation and X-chromosome dosage compensation in human preimplantation embryos	E-MTAB-3929	E-MTAB-3929:E5.15.1843	E-MTAB-3929:E5.15.1843	372883634	a2102396fc75c526491f27754bb17b32	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR1041746/ERR1041746.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR104/006/ERR1041746/ERR1041746.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR104/006/ERR1041746/ERR1041746.fastq.gz	338526083	d7aec2fd83895ed190041cb1433c0227	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041746/E5.15.1843.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR104/ERR1041746/E5.15.1843.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR104/ERR1041746/E5.15.1843.fastq.gz	FASTQ	430168049	53598388e88d82b1516be794d8f55811	ftp.sra.ebi.ac.uk/vol1/err/ERR104/006/ERR1041746	fasp.sra.ebi.ac.uk:/vol1/err/ERR104/006/ERR1041746	ftp.sra.ebi.ac.uk/vol1/err/ERR104/006/ERR1041746				E-MTAB-3929:E5.15.1843	ArrayExpress	E5.15.1843		2015-10-02
